work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size,salary_range
2023,Senior-level,Full-time,Data Engineer,231500,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Data Engineer,166000,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Scientist,172500,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Scientist,110500,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Engineer,238000,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Data Engineer,176000,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Engineer,237000,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Data Engineer,201450,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Applied Scientist,309400,United States,On-site,United States,Large,200K+
2023,Senior-level,Full-time,Applied Scientist,159100,United States,On-site,United States,Large,150K–200K
2023,Senior-level,Full-time,Data Engineer,115000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Engineer,81500,United States,On-site,United States,Medium,50K–100K
2023,Senior-level,Full-time,Data Scientist,237000,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Data Scientist,201450,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Computer Vision Engineer,280000,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Computer Vision Engineer,210000,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Data Architect,280100,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Data Architect,168100,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Engineer,193500,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Engineer,139000,United States,Remote,United States,Medium,100K–150K
2023,Mid-level,Full-time,Data Scientist,65062,Hong Kong,On-site,Hong Kong,Large,50K–100K
2023,Senior-level,Full-time,Machine Learning Engineer,150000,Portugal,Remote,United States,Medium,100K–150K
2023,Mid-level,Full-time,Applied Machine Learning Engineer,69751,India,Remote,Germany,Small,50K–100K
2022,Entry-level,Full-time,AI Developer,300000,India,Hybrid,India,Large,200K+
2023,Mid-level,Full-time,Machine Learning Engineer,96578,Netherlands,Remote,Netherlands,Large,50K–100K
2023,Senior-level,Full-time,Business Intelligence Engineer,185900,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Business Intelligence Engineer,129300,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Engineer,225000,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Data Engineer,175000,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Engineer,185000,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Engineer,140000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Scientist,48289,Spain,On-site,Spain,Medium,25K-50K
2023,Senior-level,Full-time,Data Scientist,38631,Spain,On-site,Spain,Medium,25K-50K
2023,Senior-level,Full-time,Data Scientist,105000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Scientist,70000,United States,On-site,United States,Medium,50K–100K
2023,Entry-level,Full-time,Machine Learning Engineer,163196,United States,On-site,United States,Medium,150K–200K
2023,Entry-level,Full-time,Machine Learning Engineer,145885,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Engineer,217000,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Data Engineer,185000,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Analyst,202800,United States,On-site,United States,Large,200K+
2023,Senior-level,Full-time,Data Analyst,104300,United States,On-site,United States,Large,100K–150K
2023,Senior-level,Full-time,Data Analyst,145000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Analyst,65000,United States,On-site,United States,Medium,50K–100K
2023,Senior-level,Full-time,Data Engineer,165000,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Engineer,132300,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Engineer,179170,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Engineer,94300,United States,On-site,United States,Medium,50K–100K
2023,Senior-level,Full-time,Analytics Engineer,152500,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Analytics Engineer,116450,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Engineer,247300,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Data Engineer,133800,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Research Engineer,203000,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Research Engineer,133000,United States,On-site,United States,Medium,100K–150K
2023,Entry-level,Full-time,Research Scientist,220000,United States,Hybrid,United States,Large,200K+
2022,Entry-level,Full-time,Machine Learning Engineer,56536,Switzerland,Remote,Switzerland,Small,50K–100K
2023,Senior-level,Full-time,Data Scientist,120000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Analytics Engineer,289800,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Analytics Engineer,214000,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Analytics Engineer,179820,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Analytics Engineer,143860,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Machine Learning Engineer,283200,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Machine Learning Engineer,188800,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Analytics Engineer,214200,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Data Engineer,185900,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Engineer,129300,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Engineer,252000,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Data Engineer,129000,United States,On-site,United States,Medium,100K–150K
2023,Mid-level,Full-time,Data Analytics Manager,155000,United States,On-site,United States,Medium,150K–200K
2023,Mid-level,Full-time,Data Analytics Manager,140000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Engineer,161800,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Engineer,141600,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Machine Learning Engineer,342300,United States,On-site,United States,Large,200K+
2023,Senior-level,Full-time,Machine Learning Engineer,176100,United States,On-site,United States,Large,150K–200K
2023,Mid-level,Full-time,Data Engineer,100000,United States,Remote,United States,Medium,50K–100K
2023,Mid-level,Full-time,Data Engineer,70000,United States,Remote,United States,Medium,50K–100K
2023,Entry-level,Full-time,Data Engineer,85000,United States,On-site,United States,Medium,50K–100K
2023,Entry-level,Full-time,Data Engineer,65000,United States,On-site,United States,Medium,50K–100K
2023,Senior-level,Full-time,Data Scientist,138784,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Scientist,83270,United States,Remote,United States,Medium,50K–100K
2023,Entry-level,Full-time,Data Analyst,75000,United States,On-site,United States,Medium,50K–100K
2023,Entry-level,Full-time,Data Analyst,70000,United States,On-site,United States,Medium,50K–100K
2023,Senior-level,Full-time,Data Analyst,204500,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Data Analyst,138900,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Machine Learning Engineer,318300,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Machine Learning Engineer,212200,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Data Engineer,95000,United States,Remote,United States,Medium,50K–100K
2023,Senior-level,Full-time,Data Engineer,75000,United States,Remote,United States,Medium,50K–100K
2023,Senior-level,Full-time,Data Scientist,195000,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Scientist,160000,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Analytics Engineer,230000,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Analytics Engineer,143200,United States,On-site,United States,Medium,100K–150K
2023,Mid-level,Full-time,Business Data Analyst,105000,United States,Hybrid,United States,Large,100K–150K
2023,Mid-level,Full-time,Applied Data Scientist,20670,India,Remote,India,Large,<25K
2023,Mid-level,Full-time,Data Analyst,46178,United Kingdom,On-site,United Kingdom,Medium,25K-50K
2023,Mid-level,Full-time,Data Analyst,42533,United Kingdom,On-site,United Kingdom,Medium,25K-50K
2023,Senior-level,Full-time,Data Engineer,145000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Analyst,168400,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Analyst,105200,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Machine Learning Engineer,190000,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Machine Learning Engineer,150000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Analytics Engineer,150000,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Analytics Engineer,120000,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Engineer,120000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Analyst,54685,Central African Republic,Remote,Central African Republic,Medium,50K–100K
2023,Senior-level,Full-time,Data Analyst,42533,Central African Republic,Remote,Central African Republic,Medium,25K-50K
2023,Senior-level,Full-time,Data Engineer,241000,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Data Engineer,155000,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Engineer,220000,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Data Engineer,190000,United States,Remote,United States,Medium,150K–200K
2023,Mid-level,Full-time,Data Scientist,66837,United Kingdom,On-site,United Kingdom,Medium,50K–100K
2023,Mid-level,Full-time,Data Scientist,54685,United Kingdom,On-site,United Kingdom,Medium,50K–100K
2020,Executive-level,Full-time,Staff Data Analyst,15000,Nigeria,On-site,Canada,Medium,<25K
2023,Mid-level,Full-time,ETL Engineer,85066,United Kingdom,Remote,United Kingdom,Medium,50K–100K
2023,Mid-level,Full-time,ETL Engineer,57723,United Kingdom,Remote,United Kingdom,Medium,50K–100K
2023,Entry-level,Full-time,Data Analyst,85000,United States,Remote,United States,Medium,50K–100K
2023,Entry-level,Full-time,Data Analyst,75000,United States,Remote,United States,Medium,50K–100K
2023,Senior-level,Full-time,Data Engineer,160000,United States,On-site,United States,Medium,150K–200K
2023,Mid-level,Full-time,Machine Learning Engineer,300000,United States,On-site,United States,Medium,200K+
2023,Mid-level,Full-time,Machine Learning Engineer,250000,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Data Scientist,228000,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Data Scientist,186000,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Scientist,190000,United States,On-site,United States,Medium,150K–200K
2023,Mid-level,Full-time,Research Engineer,230000,United States,On-site,United States,Medium,200K+
2023,Mid-level,Full-time,Research Engineer,200000,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Architect,180000,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Architect,115000,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Architect,200000,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data DevOps Engineer,53654,France,Hybrid,France,Small,50K–100K
2023,Executive-level,Full-time,Data Engineer,220000,United States,On-site,United States,Medium,200K+
2023,Executive-level,Full-time,Data Engineer,205000,United States,On-site,United States,Medium,200K+
2023,Mid-level,Full-time,Data Engineer,180000,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Engineer,200000,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Engineer,150000,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Computer Vision Engineer,215000,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Computer Vision Engineer,170000,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Machine Learning Engineer,247500,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Machine Learning Engineer,172200,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Scientist,224000,Canada,On-site,Canada,Medium,200K+
2023,Senior-level,Full-time,Data Scientist,176000,Canada,On-site,Canada,Medium,150K–200K
2023,Senior-level,Full-time,Data Analyst,120000,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Analyst,75000,United States,Remote,United States,Medium,50K–100K
2023,Entry-level,Full-time,Data Engineer,17022,India,Remote,India,Large,<25K
2023,Senior-level,Full-time,Applied Data Scientist,68318,Australia,Remote,Finland,Medium,50K–100K
2023,Mid-level,Full-time,AI Developer,75020,Finland,On-site,Finland,Medium,50K–100K
2023,Senior-level,Full-time,Data Analyst,140000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Analyst,120000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Engineer,128000,United States,On-site,United States,Medium,100K–150K
2023,Executive-level,Full-time,Head of Data,329500,United States,On-site,United States,Medium,200K+
2023,Executive-level,Full-time,Head of Data,269600,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Data Quality Analyst,100000,United States,On-site,United States,Medium,50K–100K
2023,Senior-level,Full-time,Data Quality Analyst,80000,United States,On-site,United States,Medium,50K–100K
2023,Senior-level,Full-time,Data Scientist,250000,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Data Scientist,162500,United States,On-site,United States,Medium,150K–200K
2023,Mid-level,Full-time,AI Developer,200000,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Engineer,100000,United States,On-site,United States,Medium,50K–100K
2023,Executive-level,Full-time,Data Engineer,145000,United States,On-site,United States,Medium,100K–150K
2023,Executive-level,Full-time,Data Engineer,115000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Scientist,203500,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Data Scientist,152000,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Scientist,239000,United States,On-site,United States,Large,200K+
2023,Senior-level,Full-time,Data Scientist,122900,United States,On-site,United States,Large,100K–150K
2023,Senior-level,Full-time,Data Scientist,237000,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Data Scientist,145000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Science Manager,191765,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Science Manager,134236,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Analytics Engineer,190000,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Analytics Engineer,112000,United States,Remote,United States,Medium,100K–150K
2022,Senior-level,Full-time,Data Scientist,88256,Spain,Remote,United Kingdom,Large,50K–100K
2023,Senior-level,Full-time,Data Analyst,135000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Analyst,105500,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Research Engineer,293000,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Research Engineer,185000,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Analyst,80000,United States,On-site,United States,Medium,50K–100K
2023,Senior-level,Full-time,Data Analyst,70000,United States,On-site,United States,Medium,50K–100K
2023,Senior-level,Full-time,Data Engineer,160000,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Scientist,175000,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Scientist,145000,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Analyst,200000,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Analyst,148500,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Engineer,240500,United States,On-site,United States,Large,200K+
2023,Senior-level,Full-time,Data Engineer,123700,United States,On-site,United States,Large,100K–150K
2023,Senior-level,Full-time,Analytics Engineer,152900,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Analytics Engineer,117100,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Analytics Engineer,173000,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Analytics Engineer,113000,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Applied Scientist,260000,United States,On-site,United States,Large,200K+
2023,Executive-level,Full-time,Data Engineer,175000,United States,On-site,United States,Medium,150K–200K
2023,Executive-level,Full-time,Data Engineer,110000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Research Scientist,130000,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Research Scientist,110000,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Applied Scientist,205000,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Applied Scientist,184000,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Analyst,149500,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Analyst,127075,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Engineer,219535,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Data Engineer,146115,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Scientist,135000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Scientist,199000,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Scientist,162000,United States,On-site,United States,Medium,150K–200K
2023,Executive-level,Full-time,Analytics Engineer,221000,United States,Remote,United States,Medium,200K+
2023,Executive-level,Full-time,Analytics Engineer,153000,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Analyst,187000,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Analyst,128000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Research Scientist,210000,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Research Scientist,136000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Scientist,100000,United States,Remote,United States,Medium,50K–100K
2023,Senior-level,Full-time,Data Engineer,179000,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Engineer,109000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Scientist,245000,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Data Scientist,180000,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Analyst,142000,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Manager,198800,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Manager,105200,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Analyst,125000,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Analyst,112000,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Scientist,210000,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Data Scientist,155000,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Manager,115000,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Manager,86000,United States,Remote,United States,Medium,50K–100K
2023,Senior-level,Full-time,Data Scientist,165000,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Scientist,140000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Analyst,139000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Analyst,106000,United States,On-site,United States,Medium,100K–150K
2023,Entry-level,Full-time,Data Analyst,40663,Canada,On-site,Canada,Large,25K-50K
2022,Senior-level,Full-time,AI Developer,275000,Canada,On-site,Canada,Small,200K+
2023,Senior-level,Freelance,Machine Learning Researcher,50000,Ukraine,Hybrid,Ukraine,Small,25K-50K
2023,Mid-level,Full-time,Machine Learning Engineer,280700,United States,Remote,United States,Medium,200K+
2023,Mid-level,Full-time,Machine Learning Engineer,150450,United States,Remote,United States,Medium,150K–200K
2023,Entry-level,Full-time,Data Scientist,51753,Canada,Remote,Canada,Large,50K–100K
2023,Senior-level,Full-time,Data Architect,250500,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Data Architect,159500,United States,On-site,United States,Medium,150K–200K
2023,Entry-level,Full-time,Data Scientist,130001,United States,Remote,United States,Medium,100K–150K
2023,Entry-level,Full-time,Data Scientist,71907,United States,Remote,United States,Medium,50K–100K
2023,Mid-level,Full-time,Data Scientist,93918,United States,Remote,United States,Medium,50K–100K
2023,Mid-level,Full-time,Data Scientist,51962,United States,Remote,United States,Medium,50K–100K
2023,Senior-level,Full-time,Data Analyst,175000,Canada,Remote,Canada,Medium,150K–200K
2023,Senior-level,Full-time,Data Analyst,135000,Canada,Remote,Canada,Medium,100K–150K
2023,Senior-level,Full-time,Machine Learning Engineer,257000,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Machine Learning Engineer,147000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Engineer,222000,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Data Scientist,203000,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Data Scientist,133200,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Engineer,221000,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Data Engineer,147000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Scientist,185900,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Scientist,129300,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Scientist,238000,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Data Scientist,156000,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Machine Learning Engineer,304000,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Machine Learning Engineer,199000,United States,Remote,United States,Medium,150K–200K
2023,Mid-level,Full-time,Big Data Engineer,48289,Spain,Remote,Spain,Medium,25K-50K
